Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
Batman: Mask of the Phantasm,14919,Batman: Mask of the Phantasm,"When a powerful criminal, who is connected to Bruce Wayne's ex-girlfriend, blames the Dark Knight for killing a crime lord, Batman decides to fight against him.",1993-12-25,76,6000000,5617391,"['Action', 'Animation', 'Crime', 'Mystery']",['Warner Bros. Family Entertainment'],['United States of America'],['English'],The Dark Knight fights to save Gotham city from its deadliest enemy.,7.51,919
Cowboy Bebop: Tengoku no tobira,11299,Cowboy Bebop: The Movie,"The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him.",2001-09-01,115,0,0,"['Action', 'Animation', 'Science Fiction']","['TriStar Pictures', 'Bandai Visual', 'Destination Films', 'SUNRISE', 'Emotion', 'BONES']",['Japan'],['日本語'],They're here to save the planet. But not for free.,7.7,725
Bride of Frankenstein,229,The Bride of Frankenstein,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein falls under the control of his former mentor, Dr. Pretorius, who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.",1935-04-20,75,393750,2000000,"['Drama', 'Horror', 'Science Fiction']",['Universal Pictures'],['United States of America'],['English'],The monster demands a mate!,7.6,792
Minnal Murali,657644,Minnal Murali,A tailor gains special powers after being struck by lightning but must take down an unexpected foe if he is to become the superhero his hometown in Kerala needs.,2021-12-16,158,2800000,0,"['Action', 'Comedy', 'Fantasy']",['Weekend Blockbusters'],['India'],"['English', '']",,7.174,278
Deadpool 2,383498,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-10,120,110000000,785896609,"['Action', 'Comedy', 'Adventure']","['Maximum Effort', 'Genre Films', '20th Century Fox']",['United States of America'],"['广州话 / 廣州話', 'English', 'Pусский', 'Español']",Prepare for the Second Coming.,7.492,15856
Ex Machina,264660,Ex Machina,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",2015-01-21,108,15000000,36869414,"['Drama', 'Science Fiction']","['DNA Films', 'Film4 Productions', 'IAC Films', 'Scott Rudin Productions', 'A24']","['United Kingdom', 'United States of America']",['English'],There is nothing more human than the will to survive,7.569,12064
Gravity,49047,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",2013-10-03,91,105000000,723192705,"['Science Fiction', 'Thriller', 'Drama']","['Esperanto Filmoj', 'Warner Bros. Pictures', 'Heyday Films']","['United Kingdom', 'United States of America']",['English'],Don't Let Go,7.158,14147
The Lego Movie,137106,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",2014-02-06,100,60000000,469160692,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']","['Village Roadshow Pictures', 'RatPac Entertainment', 'LEGO', 'Lin Pictures', 'Vertigo Entertainment', 'Warner Animation Group', 'Animal Logic']","['Denmark', 'United States of America']",['English'],The story of a nobody who saved everybody.,7.41,7009
X: First Class,691677,X-Men: First Class 35mm Special,,2012-06-05,30,0,0,['Documentary'],['Sky Movies'],['United Kingdom'],['English'],,6.9,23
Star Trek Into Darkness,54138,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",2013-05-05,132,190000000,467365246,"['Action', 'Adventure', 'Science Fiction']","['Bad Robot', 'Paramount', 'Kurtzman/Orci', 'Skydance Media']",['United States of America'],['English'],Earth Will Fall,7.331,8400
Wreck-It Ralph,82690,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012-11-01,101,165000000,471222889,"['Family', 'Animation', 'Comedy', 'Adventure']","['Walt Disney Animation Studios', 'Walt Disney Pictures']",['United States of America'],['English'],The story of a regular guy just looking for a little wreck-ognition.,7.324,11272
Star Trek II: The Wrath of Khan,154,Star Trek II: The Wrath of Khan,"It is the 23rd century. The Federation Starship U.S.S. Enterprise is on routine training maneuvers and Admiral James T. Kirk seems resigned to the fact that this inspection may well be the last space mission of his career. But Khan is back. Aided by his exiled band of genetic supermen, Khan - brilliant renegade of 20th century Earth - has raided Space Station Regula One, stolen a top secret device called Project Genesis, wrested control of another Federation Starship and sets out in pursuit of the Enterprise, determined to let nothing stand in the way of his mission: kill Admiral Kirk... even if it means universal Armageddon.",1982-06-04,113,12000000,96800000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['Paramount'],['United States of America'],['English'],At the end of the universe lies the beginning of vengeance.,7.5,1666
Invasion of the Body Snatchers,11850,Invasion of the Body Snatchers,"Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted 'replacement', realises that he and his friends must escape or suffer the same fate.",1978-12-19,116,3500000,24946533,"['Horror', 'Science Fiction']",['United Artists'],['United States of America'],"['English', 'Français']",Watch out! They get you while you're sleeping!,7.2,879
Paprika,50270,Paprika,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",1991-02-13,99,0,0,['Drama'],"['Scena Group', 'San Francisco Film']",['Italy'],['Italiano'],Tinto Brass re-opens the closed houses!,7.061,334
Abre los ojos,1902,Open Your Eyes,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",1997-12-19,117,2900000,370720,"['Drama', 'Thriller', 'Science Fiction']","['Sociedad General de Televisión (Sogetel)', 'Les Films Alain Sarde', 'Las Producciones del Escorpion', 'Lucky Red', 'Canal+ España']","['Spain', 'France', 'Italy']",['Español'],,7.47,873
The Fifth Element,18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",1997-05-02,126,90000000,263920180,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['Gaumont', 'Buena Vista International', 'Columbia Pictures']","['France', 'United Kingdom']","['English', 'svenska', 'Deutsch']",There is no future without it.,7.524,9652
Watchmen,13183,Watchmen,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",2009-03-04,163,130000000,185258983,"['Action', 'Mystery', 'Science Fiction']","['DC Comics', 'Lawrence Gordon Productions', 'Legendary Pictures', 'Warner Bros. Pictures', 'Paramount', 'Cruel & Unusual Films']",['United States of America'],['English'],Justice is coming to all of us.  No matter what we do.,7.326,8221
Guardians of the Galaxy Vol. 2,283995,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,2017-04-19,137,200000000,863756051,"['Adventure', 'Action', 'Science Fiction']",['Marvel Studios'],['United States of America'],['English'],Obviously.,7.622,19566
